"2","HTML","HTML (HyperText Markup Language):
HTML is a markup language used for creating the structure and content of web pages.","[]"
"4","Mathematics","Mathematics is the study of numbers, quantities, and shapes.","[]"
"5","Java","Java is a versatile, high-level programming language known for its portability and platform independence.","[]"
"6","Python","Python is a high-level, general-purpose programming language known for its simplicity and readability.","[]"
"7","C++","C++ is an extension of the C programming language with added features, including object-oriented programming.","[]"
"8","C","C is a procedural programming language that has been the foundation for many other languages, including C++.","[]"
"9","JavaScript","JavaScript is a widely used programming language for web development. It is a versatile and dynamic language that runs in web browsers, enabling developers to create interactive and dynamic web pages. ","[]"
"10","Angular","Angular is a popular open-source framework for building dynamic web applications. It is maintained by Google and provides a structured approach to web development.","[]"
"11","AWS (Amazon Web Services)","AWS is a comprehensive cloud computing platform provided by Amazon. It offers a wide range of cloud services and solutions, including computing power, storage, databases, machine learning, analytics, and more.","[]"
"12","Azure ","Azure is a cloud computing platform and service offered by Microsoft.","[]"
